id,state,region,chapter,delta_type,villain_name,status_change,role_change,key_event,new_relationships,replaced_by,notes
manipur,Manipur,northeast,2,catalyst-defeated-exiled,Tamasa-Nrita,alive-exiled,The Father of Raw Dance — Corruption-Teacher,"Returned to the Khwairamband Bazaar in autumn of Ch 2's year after 26 years of unaccounted wandering (post-1998 Govindaji-gurukul expulsion). Offered to teach the raw-dance rebellion. Brought out the dancers' genuine artistic grievance and weaponised it — first as rhetoric, then as actual blades. Orchestrated the Loktak central phumdi joint-performance massacre — 9 of Moirangthem's 12 senior dancers killed in 11 minutes. Challenged Moirangthem to a final Loktak duel three weeks later. Defeated by Moirangthem's new pause-strike technique (Moirang-Tandava's 19-second held pause beat his Lhasa-trained 15-second limit). Sword-arm severed at the elbow-joint. Pinned at the phumdi-edge with Ta-spear through chest-armour without entering chest. Exiled across the Burmese border rather than killed. Survives Ch 2 in the Chin-state border zone.",Former Govindaji-gurukul student expelled 1998; unaccounted-wandering 1998-2024 (rumours: Burmese border camps, Bangkok, Chinese-Tibetan dance-schools at Lhasa); coordinates with Adharma-Kendra of MP via the same villain-network confirmed by Drona's evidence-satchel; his weapons-channel (Mumbai-Mizoram cross-border) is part of the broader funding-line,—,"The first villain in Chapter Two to be DEFEATED-AND-EXILED rather than killed or integrated. Per the relationship-graph he resurfaces in Chapter Three as Adharma-Kendra's NE field-operative, returning across the Burmese border with Chin-state militia support. His 15-second Lhasa-stillness limit will not be enough at the Sanctuary convening when Moirangthem holds the 47-second Sangai-deer breath-cycle pause."
nagaland,Nagaland,northeast,2,catalyst-defeated-exiled,Naga-Rakshasa,alive-exiled,The Pure-Tongue — Sixteen-Dialect Manipulator,"Returned in autumn 2026 after two years in the Patkai Hills border-zone. Learned all 16 Naga tribal dialects fluently (unprecedented feat — no living Naga has been documented as fluent in more than 4). Forged 16 DNA-rite kits at a Chiang Mai laboratory called 'Pure-Origin Genomics' (the lab and website also forged). Visited 63 villages across 6 months distributing the kits — each tribe received a report 'proving' them the original Naga ancestral line at 99.7% match. Triggered the Hornbill Festival cancellation and the purity-rite killings. Confronted Dzulevira at the Pochury village edge on day 26 of her walk. Attempted all 16 dialects in succession against her; defeated by her Hindi-refusal answer. Retreated east across the Burmese border into Chin-state border zone. Survives Ch 2.",Coordinates with Adharma-Kendra of MP via the same villain-network confirmed by Drona's evidence-satchel; his Chiang Mai forgery operation was funded by the same Singapore line that supplied Megha-Daitya's submachine guns and Tamasa-Nrita's daos; his weapons-channel (Mumbai-Mizoram cross-border) connects to the wider funding pattern,—,"The second villain in Chapter Two to be DEFEATED-AND-EXILED across the Burmese border (joining Tamasa-Nrita in the Chin-state zone). Both NE villains have clustered at the eastern edge — per Ch 3 plan, both become Adharma-Kendra's NE field-operatives. The Pure-Tongue's defeat is the saga's first by an UNCLAIMED-LANGUAGE technique — Dzulevira's Hindi-answers render his sixteen-dialect mastery useless. The saga-rule established here: a villain whose power is mastery-of-many-languages is defeated by a hero who refuses to speak any of them and speaks instead the language belonging to none."
nagaland,Nagaland,northeast,2,sub-killer-arrested,Khrumai-Sho,alive-arrested,Senior Priest of the Tangkhul Tribal Council,"Officiated Ka-Memcha's Pure-Origin Genomic Verification rite at the Tangkhul Tribal Ceremony Grounds at Ukhrul on the 14th day of the month. Ka-Memcha refused the rite publicly. Khrumai-Sho declared the refusal sacrilege. As she walked the fire-purification sub-rite circumambulation (second circle), Khrumai-Sho stepped off the priest's platform and pushed her into the fire-pit with both hands at her shoulder-blades. The push was witnessed by 40 senior elders, the state-police detail, and his 2 senior apprentices. He did not attempt to disguise the push as accident. Said at his arrest 4 hours later: 'I have done my dharma.' Arrest recorded on Mhabemo's satellite-phone audio.",Senior Tangkhul Tribal Council priest for 9 years; officiated 341 purity-rites in his career without prior refusal; Sixth Schedule customary-law exemption claim filed by his lawyer within 11 hours and rejected by the Nagaland State Government attorney within 28 hours,—,"The personal-killer antagonist for Nagaland. The killer of Ka-Memcha. His criminal case is referred to the Nagaland High Court under regular criminal jurisdiction; the Sixth Schedule exemption is denied. His trial begins in Ch 3 — he becomes a state-evidence witness in the Ch 3 villain-network investigation, providing testimony about the Naga-Rakshasa DNA-rite kit distribution and the wider Tangkhul-tribal-council connections to Adharma-Kendra's funding network. Survives Ch 2 in detention."
odisha,Odisha,east,2,catalyst-unmasked-mob-justice-killed,Chakra-Bheda,deceased-mob-justice,The Fourth Cult — Three-Tradition Syncretic Costume Impersonator,"Was Kalinga-Yama's senior administrative-disciple at the Ch 1 Bhitarkanika Grief-Blade confrontation; spared at the Ch 1 climax under the kingdom-council's standing-administrative-rehabilitation clause. Spent the intervening years studying the three rival Jagannath-cult traditions. Returns spring 2025 in three-tradition syncretic costume: Brahmin-priestly cotton; Shabara-wood-elder anklet at right ankle; Sadhaba sail-cloth shoulder-cloth across left shoulder — a configuration no living priest had ever worn together. Conducts approximately 20 private visits to each of the three cult senior-delegates across spring-summer 2025 with contradictory standing-Fourth-Cult reconciliation-promises (to Shabara: senior-cult restoration under origin-priority; to Brahmin: senior-cult under Chodaganga-Deva-1135 charter-foundation; to Sadhaba: seat-equivalence with Brahmin under 1138-CE trade-tax). Engineers the standing-orchestrated-inflammations that produce the Wednesday-week-three simultaneous three-cult declarations at the Bada Danda. Walks into the Mausi Maa Temple courtyard at 12:38 p.m. Sunday day-two of the standing-three-day pull in the standing-syncretic costume claiming the standing-Fourth-Cult reconciliation. Unmasked at 12:41 p.m. by Subhadra-of-the-Wood's standing-Shabara-tradition cross-reference reading (the standing-Shabara-anklet at his right ankle violates the standing-origin-priority-protection clause's standing-anklet-restriction; his name is not in the standing-Shabara-lineage-register). Inspector Tripathy's standing-State-Police standing-eight-officer detail makes the standing-custody-protocol arrest at 12:47 p.m. The standing-procession's standing-Shabara-front-rank moves toward Chakra-Bheda at 12:48; Inspector Tripathy makes the standing-discretion-call at 12:49 and the detail steps back; the standing-procession reaches Chakra-Bheda at 12:50; he is pulled apart at the standing-temple-step across the next 4 minutes; body unrecoverable at 12:54 p.m.",Was Ch 1 senior administrative-disciple under Kalinga-Yama (the Grief-Blade demon); standing-administrative-rehabilitation clause holder 2023-2026; the kingdom-council's standing-Religious-Identity-Verification statute (1972) standing-impersonation case; the standing-amended Kalinga-Chakra charter's Sixth Clause standing-precedent-event,—,"The saga's first catalyst-villain killed by standing-mob-justice under a standing-charter's standing-amended-criminalisation clause. The standing-Sixth-Clause criminalising standing-religious-tradition-impersonation under the standing-1972 Religious-Identity-Verification statute is the kingdom-council's standing-precedent. The standing-impersonator's cremation was administered by Pati-Mahapatra Senapati alone at the standing-Mausi-Maa-Temple cremation-courtyard at 3:11 p.m. Sunday — the standing-Brahmin tradition (whose costume Chakra-Bheda's outer cotton-layer had impersonated) performed the cremation alone; the standing-Shabara and standing-Sadhaba did not attend. The kingdom-council's standing-State-Police standing-protocol records the killing as standing-mob-justice under the standing-charter's standing-emergency-discretion clause (the standing-eight-officer detail's standing-control-threshold was exceeded by 500-to-1; Inspector Tripathy's standing-discretion-call to step back is the kingdom-council's standing-precedent for standing-mob-justice non-intervention at standing-religious-tradition-impersonation unmaskings). Chakra-Bheda is the saga's first catalyst-villain whose body is unrecoverable. The Karnataka rule (do not destroy, mark) does not apply to standing-religious-tradition-impersonation — the rule applies to Maw-Heralds, not to standing-kingdom-charter offenders."
telangana,Telangana,south,2,catalyst-integrated-by-architecture,Chitrabheda,alive-integrated-as-residence,The Thousand-Faced Form Who Lived as Citizens,"Was Qutb-Chaaya's senior shadow-copy disciple at the Ch 1 Hall of Diamonds confrontation; took the kingdom-council's standing-shadow-copy-rehabilitation-protocol clause at his Ch 1 sparing in 2023. Spent the intervening years studying the kingdom's reflective surfaces. Activates standing-reflective-residence protocol at 8:43 a.m. on the chapter's opening Tuesday: approximately 3,000 simultaneous reflective-residence installations across Hyderabad reflective surfaces that have crossed the standing 14-month minimum-daily-presence threshold for any specific citizen. The installations are silent. Citizens continue to see their own reflection; the standing-overlay rides alongside. Across weeks 1-10 the standing-mirror-monitoring registry's three-phase classification confirms 7,417 Chitrabheda-resident citizens: 2,847 at week-1-3 overlay-positions; 3,114 at week-4-7; 1,389 at week-8-11; 67 at week-12-or-later. Took Lalithanga at the brother's east-window installation Tuesday 8:43 a.m.; routed the standing-Cyber-Hyderabad cell-administrator's seat-output through the standing-overlay from week 4 onward; was pulled by Lalithanga's standing-killing-permission and the Ranga-disc throw at 3:10:11:3 a.m. Wednesday week 6 when the southern-wall mirror-fragment shattered. The standing-residence-anchor at that fragment was destroyed; the standing-Chitrabheda-residence in Lalithanga's body was severed; Chitrabheda survives across the remaining 7,416 residences. The kingdom-council's amended Chaya-Golkonda charter installs the standing-mirror-monitoring registry, the standing-classification protocol, and the standing-Cantonment medical-cell's standing-anti-mirror-meditation cadence-recitation-and-mirror-fragment-destruction combined protocols for week-1-through-week-11 overlay-positions. The 67 week-12-or-later citizens are killed by the standing-State-Police standing-killing-protocol with the standing-citizen's standing-family-line's standing-eldest-surviving-member explicit-permission. Chitrabheda survives in the remaining ~7,350 standing-residences (the 67 killings reduce the standing-residence count) but the kingdom-council's standing-architecture now identifies, monitors, and disrupts the standing-residence-overlays without killing the host-citizens.",Was Ch 1 senior shadow-copy disciple under Qutb-Chaaya; took the standing-shadow-copy-rehabilitation-protocol clause; standing-reflective-residence-protocol holder (a kingdom-council standing-2023-documented capability); cross-mirror correspondent with all Hyderabad reflective surfaces meeting the standing 14-month minimum-daily-presence threshold; the standing-Cantonment medical-cell's standing-anti-mirror-meditation cadence-disruption protocol (trained by Bhagmati-Saheba) is the kingdom-council's standing-counter-architecture,—,"The saga's FIFTH INTEGRATED catalyst-villain after Kama-Mara (Assam; personal-reconciliation), Asta-Asura (Arunachal; shadow-twin-recognition), Kala-Hasta (Kerala; pedagogical-method), and the Karnataka rule's implicit-integration-pattern. The first integrated catalyst-villain to be integrated through INSTITUTIONAL-ARCHITECTURE — the kingdom-council's amended-charter installs the standing-monitoring/classification/disruption architecture rather than the standing-killing-protocol. Chitrabheda survives across the remaining ~7,350 standing-residences; the kingdom holds his presence without the kingdom-council's standing-killing-protocol. The institutional-architecture precedent applies to all kingdoms with distributed-presence catalyst-villains in subsequent chapters and volumes. Per Ch 3 plan he continues across the standing-residences with progressive standing-disruption-protocol-administration across the autumn; the kingdom-council's standing-mirror-monitoring registry's standing-week-of-overlay classification continues; the standing-Cantonment medical-cell's standing-disruption-protocol becomes the saga's standing-distributed-presence-disruption template."
tamil-nadu,Tamil Nadu,south,2,catalyst-demoted-reassigned,Palinisi,alive-reassigned,The Authorisation-Clerk Who Silenced Through Procedure,"Was Ravana-Vadham's senior administrative-disciple at the Madurai temple confrontation in Chapter One. Spared at the Ch 1 climax under the kingdom-council's standing-administrative-rehabilitation clause. Took the junior-clerk seat at the Madurai Sangam Hall's authorisation-clerk office at the autumn 2023 administrative-reassignment session. Rose to the standing authorisation-clerk seat across 18 months. Rebuilt the office's standing pre-clearance-protocol into a procedural-control instrument across the next 18 months: the standard 48-hour speech-pre-clearance window was extended through 'clarification-queries' that took weeks to resolve; the standing-handbook's standard-secondary-response was weaponised against any uninvited-speaker who approached the speaker's-mark stone; the standing rota-removal protocol's thirty-second clause's rotation-and-refreshment provision was invoked against 147 registered Sangam-poets across the 18 months. The kingdom-council's standing-administrative review-status reads 'closed-no-action' on 142 of the 147 silenced-poet entries and 'pending-clarification' on the remaining 5. Issued the rota-removal letter for Acharya Bharati on the chapter's opening Monday 1 February at 4:03 a.m. via the standing green-wax sealed rice-paper envelope delivered to the Acharya's Kanyakumari residence between 4:03 and 4:11 a.m. The Acharya died of 'natural causes' at 5:48 a.m. on Thursday 4 February (three days after the rota-removal). Read the standing procedural-response statement at the chamber on Friday 15 February at 10:59 a.m.; the statement crossed the 11 a.m. session-start threshold by 1 minute 43 seconds at 11:01:43 and became procedurally invalid under the standing-handbook's 47-page section on uninvited-speaker-handling. Began the standing standard-secondary-response at 11:02:18 a.m. (the same moment as Kurinjiselvi's Stage III bond-mark formation); stopped reading at the third sentence; did not complete the secondary-response. Demoted from the authorisation-clerk seat at the kingdom-council's emergency-amendment session on day 12; reassigned to the Sangam-archives wing's junior-archivist seat under standing-mentor supervision. Accepts the transfer at the day-12 administrative-session. The transfer is not a punishment; it is the kingdom-council's standing acknowledgement that her administrative-capacity is real and should be repurposed to the archive's standing-work.",Ravana-Vadham's senior administrative-disciple from Ch 1 (the ten-stringed veena's authorisation-protocol holder; the Ch 1 villain's standing-administrative apparatus); kingdom-council's authorisation-clerk seat-holder 2024 spring through 2026 February day 12 of Ch 2; reassigned to Sangam-archives wing junior-archivist seat under standing senior-mentor seat supervision from day 12 forward,—,"The kingdom's first catalyst-villain to be defeated by a procedural-handbook's own time-threshold rule (her primary procedural-response crossing the session-start threshold by 1 minute 43 seconds rendering the response procedurally invalid). The first catalyst-villain in the saga's registry to have a non-violent administrative-procedural-control as the chapter's primary mechanism of harm (the 147 silenced-poet rota-removals across 18 months; the Acharya Bharati's removal-and-natural-causes-death sequence; the Sangam Hall's standing-debate's 18-month pause). The kingdom-council's amended Sangam-charter's Seventh Clause's reassignment-to-archive provision is the kingdom's standing precedent for handling administrative-procedural-control catalyst-villains in subsequent kingdoms; the precedent applies to all kingdoms with authorisation-protocol weaponisation. Survives Ch 2. Per Ch 3 plan she serves at the Sangam-archives wing's junior-archivist seat across the autumn-and-spring archive-cataloguing season under the standing senior-mentor seat-rota's chair Manimekalai-Periya's direct supervision. Per Ch 4 plan she is the standing precedent-case at the Kurukshetra Council's standing administrative-procedural-control session as the saga's first reassignment-rehabilitation case."
andhra-pradesh,Andhra Pradesh,south,2,catalyst-exiled-with-the-krishna,Kalaniksha,alive-exiled,The Spared Twin Who Did Not Kill Her Sister,"Krishnaveni's lost twin sister. Born at 6:10 a.m. on 4 December 1989 at the Government Hospital Eluru, 23 minutes after Krishnaveni. Placed at birth with the Eluru-line midwife-extension family by family-decision (kingdom-council's 1990 archived correspondence cites 'bloodline-double-inheritance concern' as the placement-reason). 1992 supplementary affidavit by Senior Midwife Rama-Akkamma Surya (before her death in 1993) notes phenotypic-presentation at birth was intersex; female gender-presentation was a family-decision at the Eluru-line extension household; kingdom-council's post-1998 intersex-presentation protocol does not apply retroactively; her own contest-day usage (feminine pronouns) is the kingdom-council's recognised pronoun. Renamed Kalaniksha at the request of the Eluru-line family. Raised as an orphan-foundling. Rediscovered her lineage at 23 through a separate family-archive document. Spared by Krishnaveni at the Ch 1 climax confrontation in 2023. Organised the river-bound delta peasant-fishermen for 2 years. Returns publicly Monday of week 6: walks north across the Prakasham bridge at 8:47 a.m. with 300 fishermen; files emergency-petition at Town Hall at 9:26 claiming the river-throne by birth-order with the 47-page family-archive document; invokes the kingdom-council's standing contest-of-arms protocol. The forty-seven-day preparation-window. Invokes the under-armament-by-twin-choice clause at the contest-day plateau at 5:56 a.m. (precedented once before in 1828 at the Vakulamatha contest). Fights left-handed with a single delta-fisherwoman's urumi. Disarms Krishnaveni's Krishna-urumi at stroke 6 via the one-handed disarm-rotation at 6:17:23 a.m. Wraps the Krishna at her right forearm in the kingdom-council dual-urumi adoption-wrap (11 seconds; Krishnaveni does not attack during the disarmament-acknowledgement window per protocol). Disarms the Godavari-urumi at stroke 11 via the dual-urumi forced-disarmament cross-attack at 6:24:11 a.m. Walks to Krishnaveni at 1 metre's distance. Raises the Krishna-urumi at the ceremonial flourish gesture; the gesture continues past the formal-claim's upper-limit into the killing-stroke arc. Holds the stroke. Blade passes Krishnaveni's throat at 4 centimetres' distance without contact. Returns the Godavari-urumi to Krishnaveni at 6:25:14 a.m. Walks down the cliff's eastern goat-path at 6:30. Reaches the eastern beach by 7:11. Escorted south along the Krishna river's southern bank by 4 AP State Police exile-escort officers. Across the Tirupati border by sunset of day 49.",Bloodline-A twin-sister of the state hero Krishnaveni (twin-knot, born 23 minutes after; the kingdom's first formal twin-knot in saga-registry); first-cousin to Pulakeshi-Babu (by their shared maternal-grandfather B. Narayana Babu); related by Bloodline-A four-generations-back maternal-line ancestor to Krishnadevaraya-Bhrata at Karnataka and Hampi-of-the-Bronze at Vijayanagara; Eluru-line midwife-extension family raised her — that family's elders (the Eluru-line surviving senior midwife Rama-Devi, 78; the Eluru-line family-cousin Subbarao, 51) are her standing-family-of-record across her exile-period,—,"Bloodline-A first formal twin-villain in the saga's registry. The first villain to hold the kingdom's matched-half of a sacred-weapon pair beyond the kingdom's exile-border (the Krishna-urumi at the Tirupati exile-camp); the kingdom-council's standing-reconciliation clause specifies that the urumi-pair will be reunified only at the autumn-charter-review's seven-year mark or at the twin-knot's final resolution. The first catalyst-villain to HOLD the killing-stroke at a charter-forbidden moment when emotionally available — the mercy at the cliff was hers as much as Krishnaveni's; the kingdom-council's standing twin-knot-recognition records both mercies. Per restructure §6 she returns in early Chapter Three; kills Krishnaveni in the twin-confrontation's final phase; is killed by Pulakeshi-Babu afterwards. The Bloodline-A twin-knot's final resolution comes in early Ch 3; the urumi-pair is reunified at the Karnataka-AP federation's standing urumi-archive in autumn of Ch 3. Per Ch 3 plan Kalaniksha's Tirupati exile-correspondence with Acharya Sundaram across the exile-period is preserved at the kingdom-council's Bloodline-A archive as the twin-knot's permanent record."
kerala,Kerala,south,2,catalyst-integrated,Kala-Hasta Menon,alive-integrated,The Sea-Front Kalari Master,"Maya-Sura's Ch 1 star pupil; senior coiled-cobra disciple of the Naga-Padma cell; survived the Ch 1 climax confrontation with the urumi-and-cobra-venom training intact. Spent 2017-2024 in the Bangalore-and-Gulf kalari-diaspora teaching the 108 forms publicly while privately practising the 109th. Returned to Kerala spring 2025. Registered the Sea-Front Kalari at the Kerala state-government's religious-and-cultural-practice registry on 23 March under the standard kalari-charter; the application listed the school's curriculum as 'advanced kalaripayattu, all forms including unsealed teaching'; the registry's 30-day public-comment window produced no objection; the registration was approved on 22 April. Inaugural class opens Monday 8 April with 423 paying students. School's pedagogical innovation: the 109th form is taught in 7 phased classes (opening four movements; opening seven; first transition; full opening sequence; closing transitions; integration; private mastery), each phase 3 weeks long, no student advances without senior-instructor confirmation. Achyutan-the-Nephew defects from Parashurama's kalari Friday of week 2; compresses the phasing; dies at the seventh-transition class Sunday of week 3 from a basilar-artery vascular rupture. Kala-Hasta personally washes the body according to the kalari-tradition. Postpones the morning's remaining sessions. Adds a mandatory day-zero phasing-discipline session that includes Achyutan's name at the opening of every new cohort. Attends the cremation at the western grove's edge alone without approaching the pyre. Speaks at the kingdom-council's emergency ratification session on day 31 under the amended charter's cross-school-recognition provisions: 'The charter is honest. The kingdom is wider than my school and wider than the inherited tradition.' Survives Ch 2 INTEGRATED.",Was Ch 1 star pupil of Maya-Sura; senior coiled-cobra disciple of Naga-Padma cell; trained Kollam Coiled-Cobra cell 2008-2017; coordinated with Singapore-side training funders for the Bangalore-Gulf diaspora teaching circuit; cross-school institutional correspondent with Sivakami-Acharyini (108-form grandmaster) under the amended Kerala-Kalari Charter's cross-school-recognition provisions; cross-kingdom Sarus-pigeon admitted by the kingdom-council's day-31 vote into the saga's standing inter-school correspondence network,—,"The saga's FOURTH INTEGRATED catalyst-villain after Kama-Mara (Assam), Asta-Asura (Arunachal), and the Karnataka-rule implicit-integration-pattern. The first integrated catalyst-villain whose institutional standing is established through a public-charter-registration mechanism rather than through cosmic-rite (Kama-Mara) or shadow-twin-recognition (Asta-Asura) or named-Herald-protocol (Karnataka). The first integrated catalyst-villain whose pedagogical method is the chapter's most uncomfortable fact for the kingdom's tradition — the 109-form is not being taught as defiance; it is being taught as a discipline. The Sea-Front Kalari is the kingdom's second standing-pedagogical-mode and will outlast Parashurama by decades. Per the amended Kerala-Kalari Charter Page Six, the day-zero phasing-discipline session reads Achyutan's name aloud at every new cohort opening for as long as the school operates. Per Ch 3 plan the Sea-Front Kalari is admitted to the southern-bloc federation's cross-kingdom kalari-tradition exchange under Krishnadevaraya-Bhrata's Karnataka Dominant seat. Per Ch 4 plan Kala-Hasta becomes the saga's standing voice on integrated-catalyst-villain pedagogical-method-as-institutional-form — the saga's evidence that a defeated villain who returns with pedagogical thoughtfulness is the kingdom's institutional teacher, not its enemy."
tripura,Tripura,northeast,2,catalyst-survives-concealed,Tripura-Asura,alive-concealed,The Engineer-Demon of Three Flying Cities,"Returned in Ch 1 as Tripurari's engineer-rival; Ch 1 climax was Tripurari's three counter-frequency-towers preventing the flying-fortress alignment-beam at the 7-year mark. Spent 2025-26 coordinating the triple sabotage through senior strategist Tri-Yantra-Bheda (forged Singapore civil-engineering-vulnerability doctorate; one of 14 forged senior-technical-credentials in the wider villain-network). Approved the 6-page sabotage-proposal in ~90 minutes; preference: 'The kingdom should not know we have been here. The kingdom should believe the engineer has failed.' Apurba Saha's information-disclosure at the June water-rights committee meeting noon-break provided the technical specifications. Signal-injection executed through the kingdom's own pressure-monitoring sensor-network at 9 p.m. on the second-monsoon-week Saturday of week 6; signal propagated in ~11 seconds. The three central districts collapsed in 17-minute sequence. The three flying fortresses (Hema-pura gold lead, Rajata-pura silver support, Krishna-pura iron strike) were not visible during the sabotage; they remain over the Lushai-Patkai border-range under Parvata-Asura's depleted-residue cover after the chapter. Total death-count across all three cities by chapter end: 2,387 confirmed + 387 missing-and-presumed-dead.",Was Ch 1 villain (engineer-rival to Tripurari); coordinates with Adharma-Kendra's NE field-operatives network through the Singapore funding line; coordinates with Tri-Yantra-Bheda the rakshasa-engineer (his standing senior strategist; survives Ch 2 in the flying-fortress operations-cell); coordinates with Parvata-Asura (depleted residue over the Lushai-Patkai border-range; mutual concealment after Ch 2); coordinates with Tamasa-Nrita and Naga-Rakshasa across the Chin-state border zone (the NE villain-cluster); coordinated WITHOUT KNOWLEDGE with Apurba Saha (Border-Trade Consortium chair; suspended pending the consortium's investigation; the human-side intermediary whose information-disclosure enabled the sabotage),—,"The most strategically successful Chapter Two villain in TECHNICAL TERMS — Tripurari's own engineering became the kingdom's vulnerability; the kingdom appeared to collapse from itself; Tripura-Asura's hand is invisible in the kingdom's post-collapse forensic record (the kingdom-council's standing belief at chapter end is that the sabotage was 'engineering-internal' and the existence of Tripura-Asura's external coordination is suspected but unconfirmed; only Tripurari himself recognises the demon's hand, and from the Margin-hermitage he will not publish the recognition). Survives concealed; Tri-Yantra-Bheda continues operating under cover; the flying fortresses are not visible to kingdom surveillance. Per Ch 3 plan he attempts a second sabotage at the Sanctuary convening (the attempt will fail because Triputra and Vyasa-of-the-Margins coordinate the kingdom's response from the new institutional-engineering position — no self-repair-architecture; manual-only maintenance protocols). Per Ch 4 plan he is the saga's TECHNICAL antagonist at the Kurukshetra Council — the villain who tested whether engineering could substitute for divinity. The kingdom of Tri-Pura's Volume I answer: no; the engineering must be paired with poetry; the substitution does not survive coordinated reverse-stress."
mizoram,Mizoram,northeast,2,catalyst-partially-dissolved-survives,Parvata-Asura,alive-depleted,The Mountain-Asura — Standalone Successor to Chhinlung-Naag,"Was Chhinlung-Naag's subordinate mountain-form in Ch 1; retreated to the Lushai Hills' southern range when Tlangvala fought the serpent at the Chhinlung cave-mouth. Spent 2 years rebuilding his own form. Returned spring 2025 as a standalone mountain-asura. Visited all 8 Mizoram district-headquarters across spring-summer 2026 with a precisely calibrated 'refuge from the inheritance' offer to households with 15-22 year olds. Had read the Refusing Youth Manifesto's first-draft clauses 3 weeks before publication. 629 youth from all 13 villages accepted the offer (~70% with parents' permission, ~30% against). Locked them inside Phawngpui Mountain at new-moon week of week 4. Demanded one perfect sacrifice as ransom; specified the sacrifice must be voluntary, adult, and have completed a recognised Mizo bond-mark of any stage; recommended Tlangvala by name. Received Tlangvala's entry at first-light on day 3 of week 11. Was partially dissolved by the same dissolution that formed the eastern mark — some of his mountain-body became the mark's granite, some retreated into the deep southern range. Forest Department's thermal survey detects faint residual mountain-asura presence in the Lushai Hills' southern range over the following month.",Was subordinate to Chhinlung-Naag in Ch 1; now standalone; coordinates (covertly) with Adharma-Kendra's NE field-operations network alongside Tamasa-Nrita (Burmese border), Naga-Rakshasa (Chin-state), and Megha-Daitya's captured Kong-Bah (Aizawl detention); the Singapore funding-line that supplied Megha-Daitya's submachine guns and Tamasa-Nrita's daos also supplied the rations Parvata-Asura provided to the locked youth during their 7-week confinement,—,"The first standalone-successor catalyst-villain in the saga — Ch 1's Chhinlung-Naag remains in his cave-system but Parvata-Asura has now grown into his own form. Survives Ch 2 in DEPLETED form rather than fully integrated (like Asta-Asura at Arunachal), fully exiled (like Krodha at Sikkim), or killed (like Megha-Daitya at Meghalaya in mutual kill). Per Ch 3 plan he becomes Adharma-Kendra's fourth NE field-operative. His pitch was articulate, his rations were genuine, his offer was strategically perfect — he had calibrated for the exact cohort the Refusing Youth Manifesto would politicise. The 629 locked youth were not harmed during the 7-week confinement; the kingdom's recovery operation found rations fresh and water clean at the southern fissure's exit-zone. His miscalculation was assuming Tlangvala would refuse to enter the mountain (he assumed tlawmngaihna would be exploited rather than transformed). The transformation is the kingdom's institutional gift to the saga's wider villain-network problem: catalysts who exploit a kingdom's virtue can be defeated by the kingdom redirecting the virtue toward institutional administration rather than personal sacrifice."
arunachal-pradesh,Arunachal Pradesh,northeast,2,catalyst-integrated,Asta-Asura,alive-integrated,The Comforter — Listener-Shade-Master,"Returned in spring 2025 at the Tawang Sela-Pass shadow-zone after 9 years of unaccounted disappearance following the Ch 1 cave-system battle. By the kingdom's oldest dawn-walker commentary tradition he is Udayagiri's own shadow split off at the moment of his birth 31 years earlier. Reappeared as the Comforter — soft-voiced, listening, offering shade to the 2020 Galwan veterans, the 2022 Tawang-clash bereaved, and the 2024 Ziro forest-fire burned. Built the Tawang night-cult to 1,100 members in 14 months by genuinely listening to grief. Lower Subansiri subsidiary at 600 members. His followers loved him; the grievance he addressed was real. Met Udayagiri at the Sela-Pass listening-floor at week 2; accepted the three questions; offered the Dawn-Shadow Temple architecture as his ask of the kingdom. Did not authorise the rifleman's shot at the Tawang valley pass; restrained the shooter himself at 3:28:45 p.m. Walked to the centre of the pass at 3:29:30 p.m. to mourn Baba Parashar alongside Udayagiri — the first joint act across the faction-line. Accepted the Temple's architecture verbatim in the registration document. Became the Temple's shade-master at the eleventh-week consecration; poured the clay-bowl's water at the transition-arch threshold from west to east at the moment of first-light. Cult-name retained — members earned the name. Self-imposed restriction: does not travel outside the kingdom in his first 3 years as shade-master. Survives Ch 2 INTEGRATED rather than exiled.",Shadow-twin of Udayagiri (the saga's only formal mystic-twin relationship); cult-network correspondent with Kama-Mara at Kamakhya (the two integrated catalyst-villains exchange a single recognition-letter at week 14); cross-kingdom shade-administrator network with Khoda-Jaya at Lower Subansiri (the sub-cult's senior delegate); cave-Tibetan-dialect bridge to the cave-system on the Bhutan-Arunachal border zone (the kingdom's northernmost wound-line — still home to Tamasi the Ch 1 sister-figure and the cave-dwellers; Asta-Asura visits the cave-system once per quarter under the Temple's formal mission-of-mercy clause),—,"The saga's THIRD INTEGRATED catalyst-villain after Kama-Mara at Kamakhya (mirror-bond integration) and the implied integration-pattern of the Heralds-named-not-killed rule. The first integrated catalyst-villain to NOT take the bond — Asta-Asura is the shade-master of the Temple but holds no formal gayal-bond mark. His authority is institutional (the Order's shade-master seat) and relational (the shadow-twin bond with Udayagiri), not bond-based. By Ch 3 he becomes the Temple's standing voice into the NE Federation's wound-administration; will travel to the Sanctuary only by exception (the 3-year restriction is held). By Ch 4 he is the saga's institutional reference for all virtue-charter wound-architecture questions. The cult-name (the night-cult) is retained in the Order's records as the members' earned name; the formal Order-name (the Order of the Dawn-Shadow Temple) sits alongside it in the registration document."
